0x000000000000d0151e748d25b766e77efe2a6c83	type	smartcontractaddress
0x000000000000d0151e748d25b766e77efe2a6c83	has_event	event/approval
event/approval	has_input	approval/owner
approval/owner	has_type	address
event/approval	has_input	approval/spender
approval/spender	has_type	address
event/approval	has_input	approval/value
approval/value	has_type	uint256
0x000000000000d0151e748d25b766e77efe2a6c83	has_event	event/set_core
event/set_core	has_input	set_core/core
set_core/core	has_type	address
event/set_core	has_input	set_core/_core
set_core/_core	has_type	address
0x000000000000d0151e748d25b766e77efe2a6c83	has_event	event/transfer
event/transfer	has_input	transfer/from
transfer/from	has_type	address
event/transfer	has_input	transfer/to
transfer/to	has_type	address
event/transfer	has_input	transfer/value
transfer/value	has_type	uint256
0x000000000000d0151e748d25b766e77efe2a6c83	has_function	function/allowance
function/allowance	has_input	allowance/owner
allowance/owner	has_type	address
function/allowance	has_input	allowance/spender
allowance/spender	has_type	address
function/allowance	has_output	allowance/output
allowance/output	has_type	uint256
0x000000000000d0151e748d25b766e77efe2a6c83	has_function	function/approve
function/approve	has_input	approve/spender
approve/spender	has_type	address
function/approve	has_input	approve/amount
approve/amount	has_type	uint256
function/approve	has_output	approve/output
approve/output	has_type	bool
0x000000000000d0151e748d25b766e77efe2a6c83	has_function	function/balanceof
function/balanceof	has_input	balanceof/account
balanceof/account	has_type	address
function/balanceof	has_output	balanceof/output
balanceof/output	has_type	uint256
0x000000000000d0151e748d25b766e77efe2a6c83	has_function	function/burnforself
function/burnforself	has_input	burnforself/amount
burnforself/amount	has_type	uint256
0x000000000000d0151e748d25b766e77efe2a6c83	has_function	function/core
function/core	has_output	core/output
core/output	has_type	address
0x000000000000d0151e748d25b766e77efe2a6c83	has_function	function/decimals
function/decimals	has_output	decimals/output
decimals/output	has_type	uint8
0x000000000000d0151e748d25b766e77efe2a6c83	has_function	function/decreaseallowance
function/decreaseallowance	has_input	decreaseallowance/spender
decreaseallowance/spender	has_type	address
function/decreaseallowance	has_input	decreaseallowance/subtractedvalue
decreaseallowance/subtractedvalue	has_type	uint256
function/decreaseallowance	has_output	decreaseallowance/output
decreaseallowance/output	has_type	bool
0x000000000000d0151e748d25b766e77efe2a6c83	has_function	function/increaseallowance
function/increaseallowance	has_input	increaseallowance/spender
increaseallowance/spender	has_type	address
function/increaseallowance	has_input	increaseallowance/addedvalue
increaseallowance/addedvalue	has_type	uint256
function/increaseallowance	has_output	increaseallowance/output
increaseallowance/output	has_type	bool
0x000000000000d0151e748d25b766e77efe2a6c83	has_function	function/mint
function/mint	has_input	mint/account
mint/account	has_type	address
function/mint	has_input	mint/amount
mint/amount	has_type	uint256
0x000000000000d0151e748d25b766e77efe2a6c83	has_function	function/name
function/name	has_output	name/output
name/output	has_type	string
0x000000000000d0151e748d25b766e77efe2a6c83	has_function	function/setcore
function/setcore	has_input	setcore/_core
setcore/_core	has_type	address
0x000000000000d0151e748d25b766e77efe2a6c83	has_function	function/symbol
function/symbol	has_output	symbol/output
symbol/output	has_type	string
0x000000000000d0151e748d25b766e77efe2a6c83	has_function	function/totalsupply
function/totalsupply	has_output	totalsupply/output
totalsupply/output	has_type	uint256
0x000000000000d0151e748d25b766e77efe2a6c83	has_function	function/transfer
function/transfer	has_input	transfer/recipient
transfer/recipient	has_type	address
function/transfer	has_input	transfer/amount
transfer/amount	has_type	uint256
function/transfer	has_output	transfer/output
transfer/output	has_type	bool
0x000000000000d0151e748d25b766e77efe2a6c83	has_function	function/transferfrom
function/transferfrom	has_input	transferfrom/sender
transferfrom/sender	has_type	address
function/transferfrom	has_input	transferfrom/recipient
transferfrom/recipient	has_type	address
function/transferfrom	has_input	transferfrom/amount
transferfrom/amount	has_type	uint256
function/transferfrom	has_output	transferfrom/output
transferfrom/output	has_type	bool 
0x0000000000095413afc295d19edeb1ad7b71c952	type	smartcontractaddress
0x0000000000095413afc295d19edeb1ad7b71c952	has_event	event/approval
event/approval	has_input	approval/owner
approval/owner	has_type	address
event/approval	has_input	approval/spender
approval/spender	has_type	address
event/approval	has_input	approval/value
approval/value	has_type	uint256
0x0000000000095413afc295d19edeb1ad7b71c952	has_event	event/minterchanged
event/minterchanged	has_input	minterchanged/minter
minterchanged/minter	has_type	address
event/minterchanged	has_input	minterchanged/newminter
