address,category
0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,CDP
0x6f40d4a6237c257fff2db00fa0510deeecd303eb,Services
0xd33526068d116ce69f19a9ee46f0bd304f21a51f,Liquid Staking
0xc00e94cb662c3520282e6f5717214004a7f26888,Lending
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Dexes
0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,CDP
0xc0c293ce456ff0ed870add98a0828dd4d2903dbf,Yield
0x92d6c1e31e14520e676a687f0a93788b716beff5,Derivatives
0x9994e35db50125e0df82e4c2dde62496ce330999,Lending
0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b,Insurance
0xF1182229B71E79E504b1d2bF076C15a277311e05,CDP
0x0Ae055097C6d159879521C384F1D2123D1f195e6,Chain
0x0d02755a5700414B26FF040e1dE35D337DF56218,NFT Lending
0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,Algo-Stables
0x160b1e5aabfd70b2fc40af815014925d71ceed7e,Liquid Staking
0x5283d291dbcf85356a21ba090e6db59121208b44,NFT Marketplace
0xba100000625a3754423978a60c9317c58a424e3d,Dexes
0x9ae380f0272e2162340a5bb646c354271c0f5cfc,Yield
0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,Dexes
0xec67005c4e498ec7f55e092bd1d35cbc47c91892,Indexes
0x55C08ca52497e2f1534B59E2917BF524D4765257,Lending
0x530824DA86689C9C17CdC2871Ff29B058345b44a,RWA
0xba3335588d9403515223f109edc4eb7269a9ab5d,Leveraged Farming
0xb3Ad645dB386D7F6D753B2b9C3F4B853DA6890B8,Yield
0x57dD84042ec9507963016596A34EdaD42F7e4CCE,Yield Aggregator
0x0954906da0Bf32d5479e25f46056d22f08464cab,Indexes
0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,Dexes
0xff20817765cb7f73d4bde2e66e067e58d11095c2,Payments
0x2ba592F78dB6436527729929AAf6c908497cB200,Liquid Staking
0x5283d291dbcf85356a21ba090e6db59121208b44,NFT Lending
0x44108f0223A3C3028F5Fe7AEC7f9bb2E66beF82F,Cross Chain
0xe80c0cd204d654cebe8dd64a4857cab6be8345a3,NFT Lending
0xe60779cc1b2c1d0580611c526a8df0e3f870ec48,Indexes
0xe0e05c43c097b0982db6c9d626c4eb9e95c3b9ce,Insurance
0xc2544a32872a91f4a553b404c6950e89de901fdb,Algo-Stables
0xcfeaead4947f0705a14ec42ac3d44129e1ef3ed5,Lending
0x2e9d63788249371f1dfc918a52f8d799f4a38c94,Yield
0x6243d8cea23066d098a15582d81a598b4e8391f4,CDP
0x84810bcf08744d5862b8181f12d17bfd57d3b078,Liquid Staking
0x1ceb5cb57c4d4e2b2433641b95dd330a33185a44,Derivatives
0x9813037ee2218799597d83d4a5b6f3b6778218d9,Dexes
0x0d02755a5700414B26FF040e1dE35D337DF56218,Yield
0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,Dexes
0x1e4746dc744503b53b4a082cb3607b169a289090,Derivatives
0x8762db106b2c2a0bccb3a80d1ed41273552616e8,CDP
0xcdf7028ceab81fa0c6971208e83fa7872994bee5,Bridge
0x67d85A291fcDC862A78812a3C26d55e28FFB2701,Yield
0x045da4bFe02B320f4403674B3b7d121737727A36,CDP
0xB9D7DdDca9a4AC480991865EfEf82E01273F79C3,Yield Aggregator
0x5de8ab7e27f6e7a1fff3e5b337584aa43961beef,Dexes
0x41d5d79431a913c4ae7d69a668ecdfe5ff9dfb68,CDP
0xD533a949740bb3306d119CC777fa900bA034cd52,CDP
0x74232704659ef37c08995e386a2e26cc27a8d7b1,Lending
0xa670d7237398238de01267472c6f13e5b8010fd1,Yield Aggregator
0xe28b3b32b6c345a34ff64674606124dd5aceca30,Bridge
0xa91ac63d040deb1b7a5e4d4134ad23eb0ba07e14,Yield
0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,Lending
0xf915110898d9a455ad2da51bf49520b41655ccea,CDP
0xc55126051B22eBb829D00368f4B12Bde432de5Da,Yield
0x3abf2a4f8452ccc2cf7b4c1e4663147600646f66,Launchpad
0x62359ed7505efc61ff1d56fef82158ccaffa23d7,Yield
0xDe52a16C6DB7914e6953E27A7df4Ce6A315f8b45,Dexes
0x9994e35db50125e0df82e4c2dde62496ce330999,Lending
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Dexes
0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,Synthetics
0x9994e35db50125e0df82e4c2dde62496ce330999,Lending
0xEa5eDef1287AfDF9Eb8A46f9773AbFc10820c61c,Insurance
0x785c34312dfa6b74f6f1829f79ade39042222168,Options
0x41d5d79431a913c4ae7d69a668ecdfe5ff9dfb68,CDP
0xA2cd3D43c775978A96BdBf12d733D5A1ED94fb18,Lending
0x2ba592f78db6436527729929aaf6c908497cb200,Dexes
0x9416ba76e88d873050a06e5956a3ebf10386b863,Reserve Currency
0xa95c5ebb86e0de73b4fb8c47a45b792cfea28c23,Liquid Staking
0x07Ac55797D4F43f57cA92a49E65ca582cC287c27,CDP
0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a,Dexes
0x73C69d24ad28e2d43D03CBf35F79fE26EBDE1011,Leveraged Farming
0x6810e776880c02933d47db1b9fc05908e5386b96,Prediction Market
0xbbc2ae13b23d715c30720f079fcd9b4a74093505,Yield
0x3446Dd70B2D52A6Bf4a5a192D9b0A161295aB7F9,NFT Marketplace
0x3abf2a4f8452ccc2cf7b4c1e4663147600646f66,Launchpad
0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,Services
0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,Derivatives
0xD6123271F980D966B00cA4FCa6C2c021f05e2E73,Liquid Staking
0x6123b0049f904d730db3c36a31167d9d4121fa6b,Options
0x38b7Bf4eeCF3EB530b1529c9401FC37d2a71a912,Liquid Staking
0xf17a3fe536f8f7847f1385ec1bc967b2ca9cae8d,Indexes
0x5f0e628b693018f639d10e4a4f59bd4d8b2b6b44,Options
0x43a96962254855f16b925556f9e97be436a43448,Liquid Staking
0xe4815ae53b124e7263f08dcdbbb757d41ed658c6,Chain
0x777172D858dC1599914a1C4c6c9fC48c99a60990,Dexes
0x5f18ea482ad5cc6bc65803817c99f477043dce85,Indexes
0x5cb17273BFE227bD791CEEe31C9d5db6289f2797,Lending
0x94e0bab2f6ab1f19f4750e42d7349f2740513ad5,Dexes
0xeca82185adce47f39c684352b0439f030f860318,Dexes
0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,Dexes
0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,Uncollateralized Lending
0xf5238462e7235c7b62811567e63dd17d12c2eaa0,RWA
0x20c36f062a31865bed8a5b1e512d9a1a20aa333a,Algo-Stables
0x3a880652f47bfaa771908c07dd8673a787daed3a,Derivatives
0x221657776846890989a759ba2973e427dff5c9bb,Prediction Market
0x0000000000095413afc295d19edeb1ad7b71c952,Dexes
0xad32A8e6220741182940c5aBF610bDE99E737b2D,Indexes
0xdab396ccf3d84cf2d07c4454e10c8a6f5b008d2b,RWA Lending
0x534D1F5E617e0f72A6b06a04Aa599839AF776A5e,Liquid Staking
0xB620Be8a1949AA9532e6a3510132864EF9Bc3F82,Lending
0x618679df9efcd19694bb1daa8d00718eacfa2883,Yield
0xAB846Fb6C81370327e784Ae7CbB6d6a6af6Ff4BF,Lending
0x85b6ACaBa696B9E4247175274F8263F99b4B9180,Yield
0xc221b7e65ffc80de234bbb6667abdd46593d34f0,RWA Lending
0x85eee30c52b0b379b046fb0f85f4f3dc3009afec,Cross Chain
0x95a4492F028aa1fd432Ea71146b433E7B4446611,Yield
0x72e9D9038cE484EE986FEa183f8d8Df93f9aDA13,Lending
0x6bB61215298F296C55b19Ad842D3Df69021DA2ef,NFT Lending
